unit_id,source,recording,start_s,end_s,dur_ms,nn_cluster,knn15_dist,outside_envelope,x,y
xc_XC1089006_025,xc,XC1089006,60.04680272108843,60.1861224489796,139,8,7.398,True,0.26,5.87
xc_XC1089006_026,xc,XC1089006,60.3718820861678,60.53442176870748,162,-1,7.318,True,4.58,12.89
xc_XC1089006_027,xc,XC1089006,61.11492063492064,61.41678004535147,301,5,6.981,True,3.37,4.2
xc_XC1089006_028,xc,XC1089006,62.09015873015873,62.20045351473923,110,-1,8.172,True,2.73,6.77
xc_XC1089006_029,xc,XC1089006,62.7112925170068,62.89124716553288,179,8,6.424,True,0.8,-2.14
xc_XC1089006_030,xc,XC1089006,63.49496598639456,63.727165532879816,232,29,7.203,True,7.15,13.43
xc_XC1089006_031,xc,XC1089006,64.25541950113379,64.40054421768707,145,15,8.421,True,6.4,13.7
xc_XC1089006_032,xc,XC1089006,64.56308390022676,64.60952380952381,46,-1,9.231,True,5.32,13.7
xc_XC1089006_033,xc,XC1089006,64.74303854875284,64.81269841269841,69,-1,8.916,True,5.8,12.82
xc_XC1089006_034,xc,XC1089006,66.64126984126983,66.91410430839001,272,8,6.392,True,1.6,-1.18
xc_XC1089006_035,xc,XC1089006,67.48879818594104,67.54104308390022,52,-1,8.215,True,5.31,12.62
xc_XC1089006_036,xc,XC1089006,68.27827664399094,68.41759637188208,139,31,6.415,True,4.71,7.04
xc_XC1089006_037,xc,XC1089006,68.46403628117915,68.53369614512472,69,30,6.793,True,3.77,8.17
xc_XC1089006_038,xc,XC1089006,69.93850340136055,70.13006802721088,191,8,5.198,False,0.68,-1.84
xc_XC1089006_039,xc,XC1089006,70.75120181405894,70.91374149659863,162,33,7.043,True,7.33,11.39
xc_XC1089006_040,xc,XC1089006,71.0530612244898,71.16916099773242,116,29,7.616,True,7.21,13.42
xc_XC1089006_041,xc,XC1089006,71.28526077097506,71.35492063492063,69,29,7.979,True,6.99,12.95
xc_XC1089006_042,xc,XC1089006,71.54068027210884,71.63356009070294,92,29,6.672,True,7.16,13.49
xc_XC1089006_043,xc,XC1089006,74.30965986394558,74.35609977324263,46,30,9.621,True,3.98,7.95
xc_XC1089006_044,xc,XC1089006,74.37931972789116,74.44897959183673,69,30,8.632,True,3.79,8.17
